"PC","Standard_deviations","Proportion_of_explained_variance","Cumulative_proportion_of_explained_variance"
"PC91",4.06486641149945,0.280855065705142,37.8683619535236
"PC92",4.06074543316391,0.280570333681003,38.1492170192287
"PC93",4.0427331786965,0.279325807440822,38.4297873529097
"PC94",4.02530446669989,0.278121600080129,38.7091131603506
"PC95",4.02000930350741,0.27775573974038,38.9872347604307
"PC96",4.00559883971191,0.276760073131343,39.2649905001711
"PC97",3.98732876946089,0.275497733545897,39.5417505733024
"PC98",3.97898501429467,0.274921235902873,39.8172483068483
"PC99",3.96909685251051,0.27423803009819,40.0921695427512
"PC100",3.96450485419534,0.273920753745669,40.3664075728494
"PC101",3.94723850608881,0.272727764643192,40.640328326595
"PC102",3.93005638155726,0.271540594826095,40.9130560912382
"PC103",3.91944086931551,0.270807133972445,41.1845966860643
"PC104",3.91700074900135,0.270638537988769,41.4554038200368
"PC105",3.8999568173123,0.26946091637226,41.7260423580255
"PC106",3.89416929084716,0.269061037025416,41.9955032743978
"PC107",3.88489127635635,0.268419988315413,42.2645643114232
"PC108",3.87484262355252,0.267725693655326,42.5329842997386
"PC109",3.86464012643009,0.267020769382398,42.800709993394
"PC110",3.85040733212227,0.266037378545941,43.0677307627763
"PC111",3.8356351943325,0.265016722684332,43.3337681413223
"PC112",3.81798264581449,0.263797049717992,43.5987848640066
"PC113",3.81303410178435,0.263455138442681,43.8625819137246
"PC114",3.79329830603094,0.262091527034102,44.1260370521673
"PC115",3.78592130572226,0.261581825681915,44.3881285792014
"PC116",3.78157175148357,0.261281300592569,44.6497104048833
"PC117",3.76336438084478,0.260023293130723,44.9109917054759
"PC118",3.75270226358467,0.2592866121822,45.1710149986066
"PC119",3.74922408558053,0.259046293359144,45.4303016107888
"PC120",3.74034987315749,0.258433144669657,45.6893479041479
"PC121",3.73082005265802,0.257774697849617,45.9477810488176
"PC122",3.71173550220693,0.256456083133097,46.2055557466672
"PC123",3.70077897161371,0.255699060193559,46.4620118298003
"PC124",3.68655772161994,0.254716466991945,46.7177108899939
"PC125",3.67889441497963,0.254186983788292,46.9724273569858
"PC126",3.67196681561789,0.253708333034009,47.2266143407741
"PC127",3.66553732368694,0.253264098169708,47.4803226738081
"PC128",3.66186803819207,0.253010575097993,47.7335867719778
"PC129",3.63380043899003,0.251071291830092,47.9865973470758
"PC130",3.62894307136131,0.250735680233937,48.2376686389059
"PC131",3.61851290645792,0.250015025640967,48.4884043191399
"PC132",3.61084259814676,0.249485058668716,48.7384193447808
"PC133",3.59433262475996,0.24834432999748,48.9879044034495
"PC134",3.58609194593625,0.247774954239905,49.236248733447
"PC135",3.57333281824427,0.246893383904375,49.4840236876869
"PC136",3.56412469191097,0.246257163998342,49.7309170715913
"PC137",3.55172428942038,0.24540037917353,49.9771742355896
"PC138",3.54271223318197,0.244777706398892,50.2225746147632
"PC139",3.53693615299742,0.244378617913435,50.4673523211621
"PC140",3.52531980255015,0.243576005837699,50.7117309390755
"PC141",3.50403720392186,0.242105520702145,50.9553069449132
"PC142",3.49127626559126,0.241223825263604,51.1974124656153
"PC143",3.47754507323538,0.240275091765152,51.4386362908789
"PC144",3.4742726652763,0.240048990275135,51.6789113826441
"PC145",3.46869421471829,0.239663556674273,51.9189603729192
"PC146",3.46215306948449,0.239211607313963,52.1586239295935
"PC147",3.45121030746987,0.238455535691064,52.3978355369075
"PC148",3.44349949056722,0.237922769846236,52.6362910725985
"PC149",3.43554873294494,0.237373425703438,52.8742138424448
"PC150",3.42364955107559,0.236551271869232,53.1115872681482
"PC151",3.41510969238767,0.235961224785242,53.3481385400174
"PC152",3.40741631002169,0.235429663550222,53.5840997648027
"PC153",3.39705045688719,0.234713452470088,53.8195294283529
"PC154",3.38283323372776,0.233731137495778,54.054242880823
"PC155",3.37504786126593,0.233193220360759,54.2879740183188
"PC156",3.36236632434246,0.232317011028072,54.5211672386795
"PC157",3.35480335021247,0.231794460129426,54.7534842497076
"PC158",3.34968346492972,0.231440710320227,54.985278709837
"PC159",3.34038403099299,0.230798181669855,55.2167194201572
"PC160",3.3340535399447,0.230360787104001,55.4475176018271
