"","PCA-pc.1","PCA-pc.2","PCA-pc.3","PCA-pc.4","PCA-pc.5","PCA-pc.6"
"W0101",-33.8176383058892,-24.8781817578497,27.0372448560772,-17.2272606166689,13.1248200100652,-4.5365401350496
"W0102",-33.5511425619849,-23.6197635276059,27.7185045136121,-16.8704527856735,14.5201240229748,-4.90374475559616
"W0103",-25.7703274376778,-12.767023012262,22.3334478939188,0.762385774913591,5.04479379865093,-3.07098118857824
"W0106",-27.1517392644672,-21.2043036327762,26.4182137491887,1.57848164848758,4.78798267030357,-3.32502167549564
"W0107",-21.8893284912252,-6.77210549140929,10.6006885351367,-16.96665623301,0.513979334673881,-3.05913546447669
"W0108",-21.184178818648,-6.20243428468412,11.8875411627103,-14.0669356182873,5.41894173020575,-3.19562574169579
"W0120",-10.9750131531344,11.5127532160835,0.601705699229325,-2.13484673259786,-8.92666902312621,-0.0217303215218541
"W0121",-12.0456671697449,10.8712962076932,2.02242298723994,4.44847461600451,-11.702672915266,0.591191438798738
"W0123",-31.3722219358176,-27.2173227883301,21.7053806953976,-15.5254074696865,10.5799693424699,-3.06984724347826
"W0124",-32.2596370911032,-23.5696300815838,23.5837706149563,-16.2909937492224,9.45442133942238,-2.79834814336425
"W0125",-27.8388900657613,-22.2788166709573,-29.9093361418382,7.81816225303045,-1.50414056660284,-2.43170589937724
"W0126",-27.2859549636904,-22.9349694027423,-29.2777266642289,8.24339501558623,-2.63908049660888,-1.83340769628151
"W0128",-17.966215267925,-19.2799827772319,16.4778441714188,14.2324890835189,-9.22745431442291,0.7549117916724
"W0130",-21.008015117846,-15.6185530269422,19.7599261986119,4.96484748498826,-3.5499442300542,2.02487884890208
"W0132",-21.2532610154828,-9.92969326195682,-24.8793345802985,-3.40958947195054,-4.11467062058811,-1.06266179680346
"W0133",-19.6160006749015,-9.22839740404408,-24.7562655414766,-3.11958202057165,-5.55166663723572,1.97168216545567
"W0134",-28.9629113933751,-26.9408677090768,-42.9825297284227,5.94339787596384,2.13872721686851,-0.899136638103585
"W0135",-28.9191601881154,-26.6496891764321,-43.2339399663754,6.05331365759841,2.31479285782594,-0.529892468600355
"W0136",-28.6650930025123,-25.2886662804387,-42.8622034770411,5.93729720783997,2.21278570406272,-0.695217634408669
"W0137",-28.0933911608107,-25.5699132195298,-42.5871740736974,6.53845822638916,2.70252891930457,-0.967262191523632
"W0138",-28.7130580331462,-25.32671515292,-42.9857666948064,8.00102857530738,4.51427753786464,-0.619257284351234
"W0141",-28.3418631074077,-25.9211925310069,-43.0018640930205,6.8109781604467,1.84341120408593,-0.53194143804979
"W0143",-18.979794335471,-8.57715912475854,11.3679915288708,-15.1763197923801,-1.34353246430697,-1.53389819545008
"W0144",-21.7269983911302,-7.08730457182649,12.2347776808597,-11.2019502068101,3.32982684793807,-3.66744910806537
"W0145",-23.731308760615,-2.40328113030635,12.7927899817822,2.80232068659672,-1.01442331060378,-0.385647694319124
"W0147",-20.9820227729778,-0.715732318030808,11.3379756633065,4.46874083485243,-4.61030171572121,1.77987553813977
"W0148",-23.7802409003972,-20.2118272497966,8.65750716267573,-4.17535110609373,3.8852403109802,-0.81979202811305
"W0149",-23.3556459181988,-25.985290785677,4.34008991422853,-6.54610473155229,1.73980267455151,-5.01942798899469
"W0151",-32.3423413772721,-34.038990672928,26.7717876429746,-13.9775608822097,10.5282070268709,0.280888243911983
"W0152",-31.9150589759265,-37.3365338389664,25.7636759432207,-10.458192809707,10.7666347092166,-0.174751926752896
"W0153",-20.2816595666587,-10.68887199832,-21.9889571729643,7.91170324388056,-2.08521802714453,0.760969146609048
"W0157",-22.2778742983713,-7.35068771508117,-19.4916850517527,4.244275591377,-6.06918800622359,3.03463268413909
"W0163",-14.5935327671442,15.4008422577266,3.62304194791597,16.9650274285111,-7.5045846166043,0.881339625794119
"W0164",-16.9633658723503,16.0312944085545,4.11277457413079,15.1379521703628,-6.13820676935015,0.550062205872182
"W0165",-23.9817750671598,17.3403145203536,-1.27122005834126,-8.78607040040073,-0.174541634918527,1.27823685962152
"W0166",-24.4819008254031,16.3777791781977,-0.722086618763809,-7.25932103201727,1.05453484402819,0.772718067773683
"W0168",-26.5237728572787,16.8965720021479,0.375907521535471,-8.55510953461312,5.47814077250685,1.7883160458856
"W0169",-26.2766801791651,17.8082741425237,-1.1377985762562,-6.56915531412871,8.67543784277945,0.680480678668755
"W0170",-26.853220476982,18.3928104978094,-1.14332438447791,-8.36668836088087,7.6274862438629,0.74821421716399
"W0171",-26.6464292230498,20.2119351522665,1.40012677392263,-7.76483692007647,6.95515310955079,1.5823171512187
"W0172",-22.1877530451184,-6.16335278971901,-18.0088069771332,15.0698539559834,-0.0959545843568638,-3.21443579928962
"W0173",-23.2178214321964,-2.78786617963539,-15.5894725178468,16.3402037955274,6.36823308697961,1.55705371641459
"W0174",-20.9569542386365,14.7808009111318,-2.28271185914589,-3.18822470125653,-10.2207295485358,5.23623054325735
"W0175",-20.1145316319261,15.4794689641666,-2.0488454916598,-7.13386963059949,-9.19785463656568,4.49564076250605
"W0176",-16.8878247039111,15.7066174985495,9.28265738927961,26.7056202912458,-0.37543032786156,0.101312634817758
"W0178",-16.9275681860597,12.528962744965,7.97625974133321,26.2388615588242,1.79158956085238,-0.0663380557588136
"W0179",-12.7843787304022,13.059132900295,2.4205741118849,10.2862616178837,-8.69582107826677,-0.131214884029941
"W0180",-13.7383167351725,15.56954680008,2.88871878824438,11.4604263550598,-6.70997411616093,0.677140188759499
"W0234",-24.9806077899698,-9.15730061329616,-21.1489614034323,11.7519559895515,-0.59082186909426,2.3246958682316
"W0549",-23.1016198750955,-5.08152193837188,-17.2804684891739,7.13767563735195,-7.65836489757518,1.78960668910232
"W0573",-29.4157091730955,-37.7865537056417,-8.60761768281997,-0.126773389871601,1.53683412363642,1.64346423782782
"W0574",-28.9048132908247,-32.8352631880868,-6.67428527938431,2.12650366910199,-0.839618576702893,-0.201717967561239
"W0576",-21.8258408727198,15.7601074854976,0.639380741127667,3.84922612559885,-9.84642290519794,4.92638184137601
"W0587",-20.5303586319645,15.9065826797999,-0.188335551852451,1.51603301890277,-9.9396371652336,2.47455173214113
"W0589",-24.6385588361388,-16.5782616634845,15.4909133865789,5.8709041079138,-1.68107254277772,2.20670285031046
"W0590",-23.8029430696494,-14.6382687080703,17.1457557207226,3.27745758694598,-5.72642747791856,5.16918927056337
"W0593",-24.2883021089366,-5.72993024899756,-17.7637380982604,9.29190487689821,-4.85024683257951,-0.252296750556693
"W0594",-23.4426215874956,-8.86835468158819,-20.6738745796269,8.07317155191936,-2.88723426389063,4.72553657045052
"W0596",-17.7613952370199,14.927080119442,-1.49930642302806,-2.08854372806726,-10.1694358345638,1.5534046540392
"W0600",-19.1869173406076,12.771069194542,0.166361841963799,-0.946457703592236,-8.17475534466108,2.58085455699075
"W0605",-21.0795717356622,-13.1764894238843,19.0281885741467,-0.189340291706846,-0.265512048648566,-2.87396082426205
"W0606",-21.7721683590004,-12.5139877645454,16.0231678476318,-0.598568230285214,-4.36432068046631,-1.43779581036915
"W0610",-18.9901689205767,4.82410379639631,-1.38959909574068,12.4068075851554,7.12198596515298,-2.21568206903154
"W0621",-20.0381891492056,0.701515731800399,-1.86306931936821,7.78118532433676,5.78252582945594,-1.37418814940682
"W0623",-21.027770630834,9.36367617457201,-10.4954154126057,-9.36715265223675,-1.17751852838797,2.13863262792393
"W0624",-21.0466178750245,6.96408860077372,-13.5598064187193,-6.70415197302892,-0.476127480992614,0.497289844473368
"W0625",-23.48180795269,8.79156176279204,-8.4405078952243,-0.979924122190717,16.3782797961135,-2.01265097910986
"W0626",-22.6871198267857,9.68195223466229,-7.26467940788141,-1.85803188955161,15.104290093321,-1.98449374986388
"W0627",-24.2074642205112,16.2382174909445,-0.511775166839619,-10.5116717643759,2.66871512037569,0.374893332863865
"W0628",-24.3052635928657,16.5794068666865,-0.727537060689478,-8.28393773399483,9.08054035954755,-0.861831045538746
"W0629",-22.3357996104089,5.41636618855989,-7.6929079946803,-1.03663806621899,14.3462428321929,-2.56301826548503
"W0630",-22.8303292020319,6.89946797555047,-3.68122248478393,-2.03093200309709,16.8914042621824,-3.3307064417049
"W0631",-18.2655906498989,12.3182080039775,11.3412020693309,23.9358502680059,5.13772465812442,-2.48592644811881
"W0632",-17.7614385169776,12.4396390114628,11.5073371858856,23.3374969979494,2.47311369418885,-0.262206105172036
"W0633",-20.0106489365597,10.7416882286404,2.15966774257874,-7.87986866286644,8.60788790774003,-2.79621650668521
