"ID","Core_sample"
"W1957","FALSE"
"W1958","FALSE"
"W1959","FALSE"
"W1963","FALSE"
"W1970","FALSE"
"W1971","FALSE"
"W1972","FALSE"
"W1973","FALSE"
"W1974","FALSE"
"W1975","FALSE"
"W1976","FALSE"
"W1977","FALSE"
"W1978","FALSE"
"W1979","FALSE"
"W1981","FALSE"
"W1983","FALSE"
"W1989","FALSE"
"W1990","FALSE"
"W1991","FALSE"
"W1993","FALSE"
"W1995","FALSE"
"W1998","FALSE"
"W2003","FALSE"
"W2005","FALSE"
"W2007","FALSE"
"W2008","FALSE"
"W2010","FALSE"
"W2012","FALSE"
"W2014","FALSE"
"W2017","FALSE"
"W2021","FALSE"
"W2022","FALSE"
"W2024","FALSE"
"W2025","TRUE"
"W2030","FALSE"
"W2036","FALSE"
"W2050","FALSE"
"W2051","FALSE"
"W2052","FALSE"
"W2053","FALSE"
"W2055","FALSE"
"W2056","FALSE"
"W2057","FALSE"
"W2060","FALSE"
"W2061","FALSE"
"W2063","FALSE"
"W2064","FALSE"
"W2066","FALSE"
"W2078","FALSE"
"W2099","FALSE"
"W2108","FALSE"
"W2193","FALSE"
"W2197","FALSE"
"W2198","FALSE"
"W2263","FALSE"
"W2264","FALSE"
"W2265","FALSE"
"W2266","FALSE"
"W2267","FALSE"
"W2268","FALSE"
"W2269","FALSE"
"W2271","FALSE"
"W2272","FALSE"
"W2275","FALSE"
"W2276","FALSE"
"W2277","FALSE"
"W2278","FALSE"
"W2282","FALSE"
"W2283","FALSE"
"W2284","FALSE"
"W2288","FALSE"
"W2296","FALSE"
"W2298","FALSE"
"W2299","FALSE"
"W2301","FALSE"
"W2302","FALSE"
"W2303","FALSE"
"W2304","FALSE"
"W2305","FALSE"
"W2306","FALSE"
"W2307","FALSE"
"W2308","FALSE"
"W2310","FALSE"
"W2311","FALSE"
"W2316","FALSE"
"W2318","FALSE"
"W2319","FALSE"
"W2320","FALSE"
"W2321","FALSE"
"W2322","FALSE"
"W2327","FALSE"
"W2331","TRUE"
"W2332","FALSE"
"W3000","FALSE"
"W3001","FALSE"
"W3002","FALSE"
"W3003","FALSE"
"W3004","FALSE"
"W3005","FALSE"
"W3006","FALSE"
"W3007","FALSE"
"W3008","FALSE"
"W3009","FALSE"
"W3010","FALSE"
"W3011","FALSE"
"W3012","FALSE"
"W3013","FALSE"
"W3014","FALSE"
"W3015","FALSE"
"W3016","FALSE"
"W3017","FALSE"
"W3018","FALSE"
"W3019","FALSE"
"W3020","FALSE"
"W3021","FALSE"
"W3022","FALSE"
"W3023","FALSE"
"W3024","TRUE"
"W3025","FALSE"
"W3026","FALSE"
"W3027","FALSE"
"W3028","FALSE"
"W3029","FALSE"
"W3030","FALSE"
"W3031","FALSE"
"W3032","FALSE"
"W3033","FALSE"
"W3034","FALSE"
"W3035","FALSE"
"W3036","FALSE"
"W3037","FALSE"
"W3038","FALSE"
"W3039","FALSE"
"W3040","FALSE"
"W3041","FALSE"
"W3042","FALSE"
"W3043","FALSE"
"W3044","FALSE"
"W3045","FALSE"
"W3046","FALSE"
"W3047","FALSE"
"W3048","FALSE"
"W3049","FALSE"
"W3050","FALSE"
"W3051","FALSE"
"W3052","FALSE"
"W3053","FALSE"
"W3054","FALSE"
"W3055","FALSE"
"W3056","FALSE"
"W3057","FALSE"
"W3058","FALSE"
"W3059","FALSE"
"W3060","FALSE"
"W3061","FALSE"
"W3062","FALSE"
"W3063","FALSE"
"W3064","FALSE"
"W3065","FALSE"
"W3066","FALSE"
"W3067","FALSE"
"W3068","FALSE"
"W3069","FALSE"
"W3070","FALSE"
"W3071","FALSE"
"W3072","FALSE"
"W3073","FALSE"
"W3074","FALSE"
"W3075","FALSE"
"W3076","FALSE"
"W3077","FALSE"
"W3078","TRUE"
"W3079","FALSE"
"W3080","FALSE"
"W3081","FALSE"
"W3082","FALSE"
"W3083","FALSE"
"W3084","FALSE"
"W3085","FALSE"
"W3086","FALSE"
"W3087","FALSE"
"W3088","FALSE"
"W3089","FALSE"
"W3090","FALSE"
"W3091","FALSE"
"W3092","FALSE"
"W3093","FALSE"
"W3094","FALSE"
"W3095","FALSE"
"W3096","FALSE"
"W3097","FALSE"
"W3098","FALSE"
"W3105","FALSE"
