"","Group 1","Group 2","Group 3","Group 4","Group 5","Group 6","Group 7"
"Group 1",0,0.3023,0.1172,0.1088,0.2885,0.2216,0.2457
"Group 2",0.3023,0,0.4851,0.5112,0.6017,0.5189,0.5995
"Group 3",0.1172,0.4851,0,0.329,0.4828,0.3921,0.4621
"Group 4",0.1088,0.5112,0.329,0,0.5107,0.4094,0.4923
"Group 5",0.2885,0.6017,0.4828,0.5107,0,0.519,0.6054
"Group 6",0.2216,0.5189,0.3921,0.4094,0.519,0,0.5069
"Group 7",0.2457,0.5995,0.4621,0.4923,0.6054,0.5069,0
